Threshold,Precision,Recall
0.0023355239277455153,0.038746438746438745,1.0
0.002372899184967945,0.03876852907639681,1.0
0.0023785173534170327,0.0387906446092413,1.0
0.002428809581466643,0.03881278538812785,1.0
0.0024578677972705494,0.038834951456310676,1.0
0.002511752159423358,0.038857142857142854,1.0
0.0025147161891990607,0.03887935963407661,1.0
0.0025181611640248012,0.038901601830663615,1.0
0.002575163379247149,0.038923869490555235,1.0
0.0025911589055690057,0.038946162657502864,1.0
0.0026004862422400465,0.03896848137535817,1.0
0.0026035662997139107,0.0389908256880734,1.0
0.00261828110467904,0.03901319563970167,1.0
0.0026280710470972172,0.03903559127439724,1.0
0.002637389832998673,0.039058012636415854,1.0
0.0026453648615968567,0.03908045977011494,1.0
0.002674817772395256,0.039102932719954,1.0
0.002695412651493215,0.039125431530494824,1.0
0.0026955968743297572,0.03914795624640184,1.0
0.002701117795119591,0.03917050691244239,1.0
0.0027117981519991434,0.03919308357348703,1.0
0.0027148446913036295,0.0392156862745098,1.0
0.0027360699991528558,0.03923831506058857,1.0
0.0027553803394348144,0.03926096997690531,1.0
0.00276694700480284,0.039283651068746386,1.0
0.0027936059338056216,0.03930635838150289,1.0
0.002799913708737021,0.03932909196067091,1.0
0.002811642142526457,0.03935185185185185,1.0
0.0028349441428977204,0.03937463810075275,1.0
0.0028560994804829143,0.039397450753186555,1.0
0.0028677307252104444,0.03942028985507246,1.0
0.0028773498429156994,0.03944315545243619,1.0
0.0029415082198719724,0.03946604759141033,1.0
0.002962801435599286,0.03948896631823461,1.0
0.0029633619701365374,0.039511911679256245,1.0
0.0030812320663997136,0.03953488372093023,1.0
0.003091631531383918,0.03955788248981966,1.0
0.0030971085120370173,0.03958090803259604,1.0
0.0031062300365108713,0.039603960396039604,1.0
0.0031153380339321362,0.039627039627039624,1.0
0.0031225735639414153,0.03965014577259475,1.0
0.0031299432115223214,0.039673278879813305,1.0
0.003158444073416412,0.0396964389959136,1.0
0.003165031814157992,0.0397196261682243,1.0
0.0031835416225369324,0.03974284044418469,1.0
0.0032035207418367167,0.03976608187134503,1.0
0.003206319230586131,0.03978935049736688,1.0
0.0032176467014424916,0.03981264637002342,1.0
0.0032214213750581897,0.03983596953719976,1.0
0.0032484130004373155,0.03985932004689332,1.0
0.003259216369129794,0.03988269794721408,1.0
0.0032856279382985428,0.03990610328638498,1.0
0.0033436692377610956,0.03992953611274222,1.0
0.0033985027740684494,0.0399529964747356,1.0
0.00340572595926041,0.03997648442092887,1.0
0.0034069821903273587,0.04,1.0
0.003410808946704324,0.04002354326074161,1.0
0.0034201379398715874,0.04004711425206125,1.0
0.003436193853920067,0.040070713022981735,1.0
0.0034464786789808956,0.04009433962264151,1.0
0.0034703801046352374,0.040117994100294985,1.0
0.0034844753847413827,0.04014167650531287,1.0
0.0035215857977306075,0.04016538688718252,1.0
0.0035265031356939746,0.04018912529550828,1.0
0.0035713490404401696,0.04021289178001183,1.0
0.003581238463426118,0.040236686390532544,1.0
0.0035850437042216536,0.04026050917702783,1.0
0.0035909118440229752,0.04028436018957346,1.0
0.00361180199589131,0.04030823947836396,1.0
0.003614384402866514,0.04033214709371293,1.0
0.003641175505377426,0.040356083086053415,1.0
0.0036585225156491982,0.040380047505938245,1.0
0.0036821294418009306,0.04040404040404041,1.0
0.003684134837450447,0.04042806183115339,1.0
0.0037009168728479986,0.04045211183819155,1.0
0.003705511437852706,0.04047619047619048,1.0
0.003706919653817747,0.04050029779630732,1.0
0.0037214148513474107,0.04052443384982122,1.0
0.0037381648886698933,0.04054859868813357,1.0
0.0037398187740539084,0.0405727923627685,1.0
0.0037451961533950047,0.04059701492537313,1.0
0.0037817749552626133,0.04062126642771804,1.0
0.003791494769895718,0.04064554692169755,1.0
0.0038125734885965617,0.04066985645933014,1.0
0.0038320124889988164,0.040694195092758824,1.0
0.003867318622123586,0.0407185628742515,1.0
0.003869878666482255,0.04074295985620132,1.0
0.0038895562647623108,0.0407673860911271,1.0
0.0039006186806831342,0.04079184163167367,1.0
0.003924016816804656,0.04081632653061224,1.0
